away_team,Team Name,City
OAK,Oakland Athletics,Oakland CA
ANA,Los Angeles Angels,Anaheim CA
TEX,Texas Rangers,Arlington TX
TBA,Tampa Bay Rays,St. Petersburg FL
BAL,Baltimore Orioles,Baltimore MD
KCA,Kansas City Royals,Kansas City MO
SEA,Seattle Mariners,Seattle WA
FLO,Miami Marlins,Miami FL
CIN,Cincinnati Reds,Cincinnati OH
ATL,Atlanta Braves,Atlanta GA
NYN,New York Mets,New York NY
HOU,Houston Astros,Houston TX
ARI,Arizona Diamondbacks,Phoenix AZ
OAK,Oakland Athletics,Oakland CA
ANA,Los Angeles Angels,Anaheim CA
TEX,Texas Rangers,Arlington TX
TBA,Tampa Bay Rays,St. Petersburg FL
BAL,Baltimore Orioles,Baltimore MD
KCA,Kansas City Royals,Kansas City MO
SEA,Seattle Mariners,Seattle WA
FLO,Miami Marlins,Miami FL
SLN,St. Louis Cardinals,St. Louis MO
SLN,St. Louis Cardinals,St. Louis MO
CIN,Cincinnati Reds,Cincinnati OH
ATL,Atlanta Braves,Atlanta GA
MON,Montreal Expos,Montreal QC
NYN,New York Mets,New York NY
HOU,Houston Astros,Houston TX
OAK,Oakland Athletics,Oakland CA
ANA,Los Angeles Angels,Anaheim CA
TEX,Texas Rangers,Arlington TX
TBA,Tampa Bay Rays,St. Petersburg FL
BAL,Baltimore Orioles,Baltimore MD
KCA,Kansas City Royals,Kansas City MO
SEA,Seattle Mariners,Seattle WA
COL,Colorado Rockies,Denver CO
FLO,Miami Marlins,Miami FL
OAK,Oakland Athletics,Oakland CA
NYA,New York Yankees,New York NY
ANA,Los Angeles Angels,Anaheim CA
COL,Colorado Rockies,Denver CO
PHI,Philadelphia Phillies,Philadelphia PA
SFN,San Francisco Giants,San Francisco CA
PIT,Pittsburgh Pirates,Pittsburgh PA
HOU,Houston Astros,Houston TX
CHN,Chicago Cubs,Chicago IL
MIL,Milwaukee Brewers,Milwaukee WI
SDN,San Diego Padres,San Diego CA
SEA,Seattle Mariners,Seattle WA
OAK,Oakland Athletics,Oakland CA
BOS,Boston Red Sox,Boston MA
KCA,Kansas City Royals,Kansas City MO
NYA,New York Yankees,New York NY
ANA,Los Angeles Angels,Anaheim CA
COL,Colorado Rockies,Denver CO
PHI,Philadelphia Phillies,Philadelphia PA
SFN,San Francisco Giants,San Francisco CA
